FIPS,State,County,Premature_Death_Rate,Smokers,Obese,Physically_Inactive,Excessive_Drinking,Frequent_Mental_Distress,Frequent_Physical_Distress,Diabetic,Insufficient_Sleep,Uninsured,Graduation_Rate,Some_College,Unemployed,Severe_Housing_Problems,Rural,African_American,American_Indian_Alaskan_Native,Asian_Pacific_Islander,Hispanic,White,Not_Proficient_in_English
1001,Alabama,Autauga,9158,17,34,29,15,13,12,13,38,11,90,59.7,5.2,15,42,19,0.5,1.3,2.8,74.9,0.7
1003,Alabama,Baldwin,7394,18,27,22,15,12,12,10,33,16,85,62.9,5.5,15,42.3,9.4,0.7,1,4.5,83,1.2
1005,Alabama,Barbour,8573,23,44,32,12,15,16,18,40,15,86,39.3,8.9,16,67.8,47.3,0.6,0.6,4.4,46.6,1.8
1007,Alabama,Bibb,11766,20,40,34,14,13,13,15,41,14,85,50.2,6.6,14,68.4,22.1,0.4,0.4,2.4,74.1,0.4
1009,Alabama,Blount,9333,21,35,28,14,13,13,14,36,16,91,51.2,5.4,12,90,1.7,0.7,0.4,9,87.4,1.7
1011,Alabama,Bullock,10858,23,43,32,11,15,16,20,44,17,88,33.6,7.8,18,51.4,68.9,0.8,0.9,7.5,22.3,3.1
1013,Alabama,Butler,12427,22,36,34,11,16,16,18,41,14,83,43.3,7.5,16,71.2,44,0.4,1,1.2,52.8,0.5
1015,Alabama,Calhoun,10717,20,32,31,15,14,14,15,39,14,92,54,7,15,33.7,20.9,0.5,1,3.6,72.6,0.8
1017,Alabama,Chambers,11410,21,40,32,12,15,15,16,40,15,85,45,6,19,49.1,39.4,0.3,1,2,56.4,0.2
1019,Alabama,Cherokee,12534,18,34,34,13,14,13,13,34,15,88,52.6,5.4,15,85.7,4.7,0.6,0.3,1.5,91.3,0.1
1021,Alabama,Chilton,10678,20,36,30,14,14,14,13,39,18,86,40.2,5.7,16,86.7,10.2,0.5,0.6,7.7,80.3,2.5
1023,Alabama,Choctaw,12937,20,41,30,10,14,15,18,43,14,88,49.7,9.1,13,100,42,0.2,0.2,0.8,56.4,0
1025,Alabama,Clarke,9469,20,38,28,12,15,15,16,39,15,93,41.1,11.8,15,76,43.9,0.4,0.5,1.4,53.1,0.2
1027,Alabama,Clay,9390,19,37,32,13,14,14,15,36,18,93,41.9,6.2,15,100,14.3,0.6,0.3,3.4,79.6,0.8
1029,Alabama,Cleburne,11803,18,30,30,15,13,12,13,33,14,98,48,6,14,100,3.6,0.4,0.3,2.5,92.2,0.6
1031,Alabama,Coffee,7630,19,34,29,14,13,13,16,35,15,96,60.8,5.9,14,47.2,17.4,1.4,2.1,6.7,70.8,1.7
1033,Alabama,Colbert,10253,20,38,31,13,14,14,19,36,13,89,56.6,7.9,15,43.9,16.2,0.6,0.6,2.6,78.5,0.4
1035,Alabama,Conecuh,12828,23,36,32,10,16,17,17,41,17,83,38.1,9.2,20,80.9,46.1,0.4,0.2,1.7,50.6,0.3
1037,Alabama,Coosa,8421,20,40,31,12,15,15,17,39,16,83,42.5,6.7,17,100,30.2,0.6,0.4,2.2,65.9,0.6
1039,Alabama,Covington,9918,19,34,33,13,14,14,15,36,15,95,52.2,7.1,15,69.7,13,0.7,0.5,1.6,82.8,0.7
1041,Alabama,Crenshaw,10801,19,40,30,13,14,13,17,39,16,93,44.5,6,12,100,24,0.5,1.8,1.8,70.2,0.8
1043,Alabama,Cullman,9937,18,33,26,13,14,13,14,35,16,91,54.6,5.3,14,73.2,1.4,0.6,0.6,4.4,92,0.9
1045,Alabama,Dale,8086,19,37,27,15,14,14,14,41,14,90,61.2,6.4,13,50.9,19.7,0.8,1.6,6.3,69.4,1
1047,Alabama,Dallas,12928,23,41,31,10,17,18,19,44,14,90,47.3,9.6,24,45.6,69.3,0.2,0.5,0.9,28.4,0.1
1049,Alabama,DeKalb,9642,22,30,30,13,15,15,13,36,21,92,41.6,6,14,90.1,1.8,2.1,1.1,14.1,80.6,3.7
1051,Alabama,Elmore,8894,18,35,29,17,13,12,13,34,11,90,53.3,5.1,12,54.2,21.1,0.4,0.8,2.8,73.4,0.9
1053,Alabama,Escambia,10392,21,38,32,12,15,16,18,39,17,84,39.6,7,14,63.5,32.2,3.5,0.3,2.1,60.4,0.2
1055,Alabama,Etowah,11439,19,35,33,12,14,14,17,40,15,84,53.1,6.1,14,37.5,15.5,0.6,1.1,3.7,78.2,1.4
1057,Alabama,Fayette,10276,20,34,31,13,14,14,15,37,15,93,50.5,7,12,80.2,12,0.4,0.3,1.6,84.7,0.1
1059,Alabama,Franklin,11550,20,33,35,13,14,15,14,38,20,93,40.3,6.4,16,70.4,4,1.5,0.6,16.4,77.6,4.8
1061,Alabama,Geneva,9368,21,34,29,13,14,14,14,36,17,94,47,5.9,12,89.6,9.5,1,0.5,3.9,83.7,1.9
1063,Alabama,Greene,12431,26,46,32,9,18,19,21,47,15,88,45.4,11,15,100,80,0.3,0.2,1,18,0
1065,Alabama,Hale,9818,22,40,32,10,16,17,16,43,14,86,48,7.8,21,89.2,57.4,0.2,0.2,1.2,40.4,0.5
1067,Alabama,Henry,8563,18,36,29,13,14,13,19,37,15,93,57.6,6.8,12,87.8,26.6,0.4,0.7,2.6,68.6,0.6
1069,Alabama,Houston,8558,20,33,26,13,14,13,14,38,13,93,57.2,6.2,14,33.8,26.4,0.5,1,3.4,67.2,0.7
1071,Alabama,Jackson,11929,19,32,31,13,14,14,15,35,16,92,43.8,6.6,9,77,3.5,1.6,0.6,2.9,89.2,0.5
1073,Alabama,Jefferson,10306,19,33,26,14,13,12,13,41,13,89,67.2,5.8,18,9.8,42.7,0.3,1.7,3.8,50.6,1.4
1075,Alabama,Lamar,8848,20,34,33,12,15,15,15,36,14,88,52.5,6.3,13,100,10.9,0.2,0.1,1.4,85.9,0.4
1077,Alabama,Lauderdale,8773,18,33,28,14,14,13,14,37,14,95,58.6,6.9,13,49.3,10.2,0.5,0.9,2.5,84.7,0.6
1079,Alabama,Lawrence,10665,20,36,36,13,14,14,16,36,16,92,50.6,7.7,12,91.3,11.1,5.8,0.3,2.2,76.4,0.2
1081,Alabama,Lee,7956,19,29,23,16,14,14,10,38,13,90,70.4,5.1,19,27.4,23.5,0.4,3.5,3.9,67.5,1.6
1083,Alabama,Limestone,7195,18,33,31,14,12,12,13,36,14,93,55,5.5,12,57.6,13.2,0.8,1.7,6.1,76.8,1.4
1085,Alabama,Lowndes,12910,23,45,30,10,16,17,24,44,14,83,42.5,11.6,24,100,71.9,0.3,0.3,1.3,25.6,0
1087,Alabama,Macon,13001,22,45,30,10,15,16,18,46,13,89,55.8,8.1,21,55.5,80.2,0.2,0.4,1.6,16.5,0.7
1089,Alabama,Madison,7532,17,32,23,14,12,12,12,38,13,92,72.6,5.5,12,16.4,24.3,0.8,2.8,4.8,65.2,1.3
1091,Alabama,Marengo,11076,20,40,33,11,15,16,20,44,13,97,49.6,7.7,15,69.3,50.6,0.3,0.5,2.5,45.4,0.1
1093,Alabama,Marion,11024,19,36,30,13,14,14,19,37,15,88,52.3,7,12,88.9,4.2,0.4,0.4,2.5,91.5,0.2
1095,Alabama,Marshall,10993,19,33,29,14,14,14,13,35,19,92,47.4,5.8,14,53.3,2.3,1.1,1,13,81.9,4.8
1097,Alabama,Mobile,10198,22,37,28,15,14,14,16,40,15,86,59.4,7,18,20,35.2,1,2.1,2.8,57.6,0.8
1099,Alabama,Monroe,11849,21,35,32,11,16,16,18,41,18,86,42.5,10.1,16,79,40.7,1.3,0.5,1.2,54.9,0.1
1101,Alabama,Montgomery,9717,21,35,27,13,14,15,14,40,14,79,61.3,6.2,19,10.5,56.5,0.3,2.9,3.4,35.9,1.7
1103,Alabama,Morgan,9424,19,32,29,13,13,13,13,36,16,91,53.8,5.8,13,38.6,12.3,1.1,0.9,8,76.3,2.3
1105,Alabama,Perry,13849,23,43,34,10,17,17,22,45,15,98,41.2,10,21,100,66.9,0.2,0.6,1.4,30.4,0.4
1107,Alabama,Pickens,11640,21,36,30,12,15,16,16,40,14,90,47.2,6.8,17,100,39.6,0.2,0.6,4.9,54,0.6
1109,Alabama,Pike,10200,20,38,25,13,15,15,14,43,15,88,58.5,6.7,19,51.7,36.7,0.7,2.3,2.2,56.9,1.3
1111,Alabama,Randolph,12126,19,31,28,13,14,14,15,35,17,95,49.1,5.9,19,81.3,20,0.4,0.4,3,74.9,0.3
1113,Alabama,Russell,8908,22,36,31,14,14,14,13,42,15,84,63.3,6,17,35.4,42.7,0.6,1.2,5.3,48.3,0.8
1115,Alabama,St. Clair,10242,18,33,27,14,13,12,13,36,13,90,53.1,5.2,12,72.8,9.5,0.4,0.9,2.3,85.7,0.7
